Date,Close,High,Low,Open,Volume
2010-01-04,23.254053115844727,23.36675421473569,22.983569332048635,23.006110125055717,38409100
2010-01-05,23.26156234741211,23.366751268443092,23.02113298460765,23.1789156496181,49749600
2010-01-06,23.118806838989258,23.35172259026295,22.930971232107133,23.201453531528465,58182400
2010-01-07,22.878379821777344,23.066215447791702,22.683030598753763,23.01362026872712,50559700
2010-01-08,23.036170959472656,23.20146586549427,22.720606914833056,22.750661315785738,51197400
2010-01-11,22.743139266967773,23.111296943439314,22.630438171406638,23.07372895620415,68754700
2010-01-12,22.59286117553711,22.840804060136207,22.4726465304631,22.652968498074117,65912100
2010-01-13,22.803247451782227,22.930975746933075,22.547790861480532,22.735626505345177,51863500
2010-01-14,23.26156234741211,23.366751268443092,22.735623474545363,22.773190025081544,63228100
2010-01-15,23.186431884765625,23.471941427316555,23.073729354188373,23.351726732234876,79913200
2010-01-19,23.36675262451172,23.47194011857512,23.051188709249384,23.103782456281085,46575700
2010-01-20,22.98356819152832,23.246538364605936,22.773191766451795,23.148863032827776,54849500
2010-01-21,22.547792434692383,23.081245012613525,22.54027883644489,22.99859829803575,73086700
2010-01-22,21.75887680053711,22.690542705481306,21.66871650849219,22.540273641310435,102004600
2010-01-25,22.029361724853516,22.284818287807923,21.864066891853874,21.969254382574366,63373000
2010-01-26,22.164615631103516,22.427585933680334,21.856565155622143,21.93921333350788,66639900
2010-01-27,22.292339324951172,22.40504045020536,21.80396682680133,22.051909875589562,63949500
2010-01-28,21.909147262573242,22.442601184650893,21.70628444292095,22.420060393665494,117513700
2010-01-29,21.172834396362305,22.48017032981248,20.782135905977952,22.465143134088716,193888500
2010-02-01,21.34563636779785,21.398230103792212,20.977478782765505,21.330609176636084,85931100
2010-02-02,21.383211135864258,21.413265529745658,21.142781717102554,21.31559161577586,54413700
2010-02-03,21.51093864440918,21.631154782395402,21.12775516816633,21.23294267669791,61397900
2010-02-04,20.917377471923828,21.413263458420417,20.89483667869317,21.32310171857002,77850000
2010-02-05,21.0526180267334,21.247967256429643,20.71451331512987,21.037590832201655,80960100
2010-02-08,20.827211380004883,21.097695109963368,20.71451030354616,21.04510136982076,52820600
2010-02-09,21.04510498046875,21.293047964445577,20.849755745657887,21.015050590618376,59195800
2010-02-10,21.030086517333984,21.21792223267252,20.917385374745415,21.060140919663084,48591300
2010-02-11,21.127756118774414,21.33813114530305,20.812192145909076,20.985000612863992,65993700
2010-02-12,20.984996795654297,21.08267069262233,20.722026627255875,20.894835062776618,81117200
2010-02-16,21.400171279907227,21.415268747845847,21.151068818015133,21.234102012129974,51935600
2010-02-17,21.581331253051758,21.62662220592332,21.407714733899585,21.536040300180197,45882900
2010-02-18,21.868173599243164,21.913465987176224,21.52094059706274,21.58132900786687,42856500
2010-02-19,21.717201232910156,21.830429312460037,21.656812827832013,21.73229869412298,44451800
2010-02-22,21.6870174407959,21.84553798534089,21.62662900472492,21.770052080308698,36707100
2010-02-23,21.385072708129883,21.76250074847088,21.20390742153905,21.649272624323324,52266200
2010-02-24,21.611530303955078,21.732308608986827,21.422816272017815,21.52849710894887,43165900
2010-02-25,21.58888816833496,21.626630403405056,21.151071618561566,21.339785673459996,48735300
2010-02-26,21.6417236328125,21.77759795607967,21.520946776524724,21.626626165833105,40370600
2010-03-01,21.905921936035156,21.928566695066436,21.536042660863817,21.717207931982006,43805400
2010-03-02,21.483200073242188,22.11727919903686,21.317132279257294,21.951211405051968,93123900
2010-03-03,21.483200073242188,21.596429619813268,21.400166896136486,21.520943735357047,48442100
2010-03-04,21.611530303955078,21.626627772055773,21.339783077011603,21.483204704646788,42890600
2010-03-05,21.581331253051758,21.649268402245816,21.453005686771142,21.634170938030817,56001800
2010-03-08,21.611530303955078,21.837988006144077,21.513399640848174,21.52849710894887,39414500
2010-03-09,21.739850997924805,21.9738573813634,21.551137008568606,21.55868574091567,50271600
2010-03-10,21.868173599243164,21.973854397980354,21.73984804631273,21.78514043424579,44891400
2010-03-11,22.026697158813477,22.03424589119166,21.777594749427433,21.807788239166673,35349700
2010-03-12,22.094635009765625,22.177668189006752,21.921018478892734,22.132377233077634,31700200
2010-03-15,22.109729766845703,22.170118180612242,21.898369598776142,22.026695158001704,37512000
2010-03-16,22.170122146606445,22.260704063573698,22.04179656442483,22.207864372047197,36723500
2010-03-17,22.366382598876953,22.54754930549194,22.19276606479227,22.268251952586258,50385700
2010-03-18,22.351287841796875,22.434321027287027,22.268253216533086,22.366383868393676,43845200
2010-03-19,22.336185455322266,22.57019037342411,22.155020218104063,22.464511011656825,81332100
2010-03-22,22.3437442779541,22.41923018749673,22.18522372393718,22.26825836841147,37718200
2010-03-23,22.555097579956055,22.57019504612653,22.200315763591675,22.336190079578685,42026600
2010-03-24,22.381484985351562,22.532456794133328,22.343742753043056,22.434324686493017,33987700
2010-03-25,22.653226852416992,23.07594577419215,22.49470635689291,22.51735255333162,73168700
2010-03-26,22.3890323638916,22.796655359052462,22.336192665950108,22.713620725273667,55595500
