Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2010-01-04,37.1025390625,37.35010933165195,36.34332536130692,36.376333387372505,4353415
1,2010-01-05,37.21805953979492,37.76271304317002,37.053012752276366,37.300582933554196,4374738
2,2010-01-06,37.482147216796875,37.76272550501615,37.30059524289555,37.498652348713556,5549959
3,2010-01-07,37.81222915649414,38.0432964680571,37.2015573378234,37.59766921128911,4535147
4,2010-01-08,37.9112663269043,38.2248526145025,37.64718871519965,37.99378974109042,3809958
5,2010-01-11,38.09360885620117,38.54118469923211,37.9941495563091,38.45830045040262,3041300
6,2010-01-12,37.54656982421875,38.29252798641815,37.39737864145465,37.86153173585052,2569224
7,2010-01-13,38.11017990112305,38.292523409161305,37.06583724985095,37.54656533612923,3322262
8,2010-01-14,38.9058837890625,39.287150507781575,38.14334585486519,38.292539330205294,6747297
9,2010-01-15,39.33687210083008,40.26517837426355,38.905875810964766,39.237412802171384,11273753
10,2010-01-18,38.988746643066406,39.78443424882122,38.82297820450262,39.370013152411765,4085821
11,2010-01-19,38.541175842285156,39.41974777862611,38.342252791456175,38.95559699119667,4992784
12,2010-01-20,38.756683349609375,39.104799897264186,38.42514634999052,38.54118519920879,3697700
13,2010-01-21,37.6791877746582,38.93903106035837,37.48026692563646,38.62406911474375,3555527
14,2010-01-22,37.89468002319336,38.11018263493407,36.38618872155402,36.469072957836566,4943166
15,2010-01-25,38.226219177246094,38.78983381523924,37.14872629168827,37.89468221295786,2912852
16,2010-01-27,37.56314468383789,38.92244478659045,37.19845315108205,38.22621631437611,8252922
17,2010-01-28,37.76206588745117,39.10479320414325,35.905460356387046,38.4251397731981,11600411
18,2010-01-29,37.364227294921875,37.69576428472739,36.817192161094425,37.430534243207155,3996285
19,2010-02-01,37.44710922241211,37.67918465122237,37.132149551285394,37.21503379360184,2078776
20,2010-02-02,37.69575500488281,38.29252188929801,37.2979111647322,37.59629348275052,3466800
21,2010-02-03,37.44710922241211,37.87810773213344,37.29791803591829,37.79522348981699,2006355
22,2010-02-04,37.13213348388672,37.878091341952285,37.03267198646905,37.29790189679018,2254939
23,2010-02-05,35.607086181640625,36.800620424706636,35.47447226502416,36.66800650809017,4391981
24,2010-02-08,35.97175979614258,36.12095093965754,35.40814756043142,35.97175979614258,1831316
25,2010-02-09,35.83915328979492,36.1375356379664,35.65680752218845,35.83915328979492,1113258
26,2010-02-10,35.57392883300781,36.021502425045114,35.49104458466248,35.97177277538957,1023345
27,2010-02-11,35.49103546142578,35.8888793015388,35.45788087125864,35.64022662042085,640478
28,2010-02-15,34.77823257446289,35.971766439773184,34.74507798161254,35.57392256746267,1575236
29,2010-02-16,35.391578674316406,35.64023138870143,34.745079818212275,34.81138900741803,1192982
30,2010-02-17,35.50761795043945,35.72311607291257,35.37500181875079,35.64023183374923,989784
31,2010-02-18,35.85573196411133,36.28673048157197,35.20923531210986,35.55734958576573,1713670
32,2010-02-19,35.52419662475586,35.85573361524201,35.308698480291504,35.85573361524201,1267093
33,2010-02-22,35.474464416503906,35.922040220724966,35.39158017486142,35.60707830378032,835164
34,2010-02-23,35.34184646606445,35.54076953514343,35.15950069413853,35.47446259491005,801182
35,2010-02-24,35.22581100463867,35.44130912935516,35.0268879292243,35.20923370695766,906081
36,2010-02-25,35.292118072509766,35.47446385089169,34.84454227542495,35.47446385089169,1650113
37,2010-02-26,35.65681457519531,36.10438818598371,35.142931764249326,35.474468771520385,1548385
38,2010-03-02,35.65681457519531,36.30331128969804,35.474468771520385,35.673391875234714,780476
39,2010-03-03,36.038082122802734,36.13754367711234,35.32527619056663,35.32527619056663,1578097
40,2010-03-04,36.07123565673828,36.30331111100988,35.90546715391868,36.13754260819028,1157814
41,2010-03-05,35.8889045715332,36.353055670418726,35.80602028613364,36.137557427731906,766252
42,2010-03-08,36.485652923583984,36.701151054330126,35.97177017136745,36.13753865605801,1998979
43,2010-03-09,36.07123565673828,36.601693516733484,35.97177410537068,36.469079613829486,1368556
44,2010-03-10,36.17069625854492,36.3696171076788,35.85573431275275,36.10438706045447,1572349
45,2010-03-11,35.40816116333008,36.53538606780301,35.17608346383931,36.137542116128984,4256779
46,2010-03-12,35.24238204956055,35.60707356358956,34.99372935773494,35.15949781895201,7813231
47,2010-03-15,34.69535446166992,35.30869879895645,34.54616326428051,35.30869879895645,2420100
48,2010-03-16,34.79481887817383,34.894280434093616,34.33066570000793,34.49643421041447,1690093
49,2010-03-17,35.25896453857422,35.42473527258595,34.84454332449234,34.84454332449234,2067076
50,2010-03-18,35.17607498168945,35.44130496830921,33.866504592704025,34.9937292253647,2257266
51,2010-03-19,35.8723030090332,36.220417222003334,35.01030612438134,35.14292224037781,3363560
52,2010-03-22,35.65681457519531,36.170697386141306,35.35842991962382,35.474468771520385,2178427
53,2010-03-23,35.7894287109375,36.10438842021248,35.40816204945399,35.723121758728965,1381649
54,2010-03-25,35.292118072509766,35.95519199507754,35.1429268896078,35.95519199507754,3128139
55,2010-03-26,35.391578674316406,35.64023138870143,35.093194068027074,35.32526948511065,2059990
56,2010-03-29,35.391578674316406,35.68996103222689,35.17607830615541,35.623654091399985,1977720
57,2010-03-30,35.374996185302734,35.640226158063456,35.30868925420718,35.39157348017125,1369034
58,2010-03-31,35.52419662475586,35.67339006917791,34.91085229300483,35.47446697553458,1719363
59,2010-04-01,35.358428955078125,35.67339090209713,35.308699304695736,35.640236302922766,928358
